country,yearly,monthly
Monaco,186080,15507
Liechtenstein,116430,9703
Bermuda,106140,8845
Switzerland,85500,7125
Norway,82500,6875
Macao,78640,6553
Luxembourg,73910,6159
Iceland,72850,6071
United States of America,65760,5480
Denmark,63240,5270
Ireland,62210,5184
Singapore,59590,4966
Sweden,55840,4653
Australia,54910,4576
Netherlands,53200,4433
Austria,51300,4275
Hong Kong,50840,4237
Finland,49580,4132
Germany,48520,4043
Belgium,47350,3946
Canada,46370,3864
United Arab Emirates,43470,3623
Israel,43290,3608
New Zealand,42670,3556
France,42400,3533
United Kingdom,42370,3531
Japan,41690,3474
Italy,34460,2872
South Korea,33720,2810
Spain,30390,2533
Portugal,23080,1923
Saudi Arabia,22850,1904
Czechia,22000,1833
Greece,20320,1693
Hungary,16140,1345
Poland,15200,1267
Chile,15010,1251
Croatia,14910,1243
Venezuela,13080,1090
Romania,12630,1053
Costa Rica,11700,975
Russia,11260,938
Malaysia,11200,933
Argentina,11200,933
China,10410,868
Turkey,9610,801
Mexico,9430,786
Bulgaria,9410,784
Brazil,9130,761
Thailand,7260,605
Serbia,7020,585
Peru,6740,562
Colombia,6510,543
Equatorial Guinea,6460,538
Belarus,6280,523
Ecuador,6080,507
South Africa,6040,503
Iran,5420,452
Albania,5240,437
Indonesia,4050,338
Philippines,3850,321
Bolivia,3530,294
Ukraine,3370,281
Morocco,3190,266
Egypt,2690,224
Laos,2570,214
Vietnam,2540,212
India,2130,178
Nigeria,2030,169
Bangladesh,1940,162
Kenya,1750,146
Pakistan,1530,128
Cameroon,1500,125
Cambodia,1480,123
Ethiopia,850,71
Sudan,590,49
Afghanistan,540,45
Democratic Republic of the Congo,520,43
